"filename", "language", "Dart", "JavaScript", "comment", "blank", "total"
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/chache.dart", "Dart", 25, 0, 5, 11, 41
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/arbeit_db_handler.dart", "Dart", 72, 0, 6, 11, 89
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/calendarpage_config_db_handler.dart", "Dart", 61, 0, 4, 11, 76
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/my_course_db.dart", "Dart", 553, 0, 13, 53, 619
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/my_grade_db.dart", "Dart", 498, 0, 14, 51, 563
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_db_handler.dart", "Dart", 204, 0, 19, 26, 249
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_metaInfo_db_handler.dart", "Dart", 125, 0, 7, 19, 151
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/schedule_template_db_handler.dart", "Dart", 122, 0, 10, 15, 147
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/tag_db_handler.dart", "Dart", 168, 0, 14, 23, 205
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/task_db_handler.dart", "Dart", 367, 0, 39, 43, 449
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/todo_db_handler.dart", "Dart", 220, 0, 85, 43, 348
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/handler/user_info_db_handler.dart", "Dart", 160, 0, 11, 20, 191
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/isar_handler.dart", "Dart", 100, 0, 1, 15, 116
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/vacant_room.dart", "Dart", 44, 0, 2, 13, 59
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/isar_collection/vacant_room.g.dart", "Dart", 1702, 0, 10, 182, 1894
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/arbeit.dart", "Dart", 17, 0, 0, 3, 20
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/calendar_config.dart", "Dart", 18, 0, 0, 3, 21
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule.dart", "Dart", 40, 0, 0, 4, 44
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_import.dart", "Dart", 0, 0, 57, 5, 62
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_import_id.dart", "Dart", 0, 0, 11, 3, 14
"/Users/ryotarotakatsu/development/wase_dule/lib/backend/DB/models/schedule_meta_data.dart", "Dart", 19, 0, 0, 3, 22
